respondent_id,age,income,rating,completion_time_sec
1,22,5159.45,3.0,386.0
2,58,5286.28,5.0,236.0
3,52,4914.41,4.0,306.0
4,40,74146.24,4.0,125.0
5,40,,4.0,39.0
6,62,4581.53,1.0,433.0
7,22,3792.34,5.0,202.0
8,54,5189.08,5.0,265.0
9,28,5552.93,1.0,154.0
10,22,invalid,3.0,151.0
11,45,5640.2,5.0,299.0
12,68,4843.82,3.0,232.0
13,56,5295.1,9.0,365.0
14,57,invalid,5.0,374.0
15,55,4230.58,3.0,359.0
16,58,4795.16,1.0,349.0
17,44,5730.79,2.0,509.0
18,24,3909.39,2.0,192.0
19,61,5281.75,3.0,313.0
20,-5,,3.0,456.0
21,44,4323.69,3.0,472.0
22,37,5744.28,1.0,149.0
23,27,1510.41,2.0,283.0
24,66,2555.29,4.0,483.0
25,58,2276.72,1.0,381.0
26,51,999.58,2.0,343.0
27,38,3482.6,,294.0
28,60,invalid,1.0,274.0
29,46,4072.67,3.0,355.0
30,41,4796.69,2.0,290.0
31,41,6133.83,1.0,315.0
32,29,6491.53,3.0,329.0
33,22,4396.29,9.0,239.0
34,46,6530.38,1.0,384.0
35,64,4638.19,1.0,670.0
36,21,3243.9,1.0,107.0
37,62,3608.4,4.0,359.0
38,61,,5.0,229.0
39,32,invalid,1.0,389.0
40,50,3962.97,2.0,326.0
41,26,5705.38,2.0,411.0
42,57,7081.15,2.0,461.0
43,54,2426.73,,343.0
44,36,5089.24,1.0,456.0
45,21,,,39.0
46,68,5212.05,2.0,511.0
47,41,4303.37,2.0,365.0
48,64,1753.64,2.0,449.0
49,53,5892.45,5.0,174.0
50,58,3592.5,4.0,220.0
51,57,3699.15,3.0,338.0
52,28,2895.37,2.0,318.0
53,36,3518.58,5.0,354.0
54,42,5141.84,5.0,450.0
55,43,4216.13,1.0,108.0
56,20,4992.99,5.0,437.0
57,46,5042.88,4.0,321.0
58,26,6480.99,1.0,296.0
59,56,3985.82,4.0,143.0
60,53,2284.71,1.0,380.0
61,65,6100.83,1.0,30.0
62,56,74146.24,1.0,398.0
63,37,6171.89,3.0,141.0
64,68,5075.07,9.0,326.0
65,39,4303.29,3.0,306.0
66,34,5023.16,1.0,460.0
67,65,7426.52,1.0,299.0
68,37,7615.47,5.0,237.0
69,21,4604.07,5.0,259.0
70,42,4740.29,4.0,10.0
71,59,6114.36,1.0,384.0
72,27,3231.51,5.0,274.0
73,42,,4.0,292.0
74,24,4461.21,3.0,132.0
75,53,4970.86,1.0,367.0
76,42,3249.95,5.0,109.0
77,35,2115.65,3.0,410.0
78,29,1390.52,1.0,335.0
79,47,2823.92,9.0,606.0
80,52,,3.0,188.0
81,66,4060.21,1.0,308.0
82,40,7405.85,2.0,536.0
83,26,,3.0,463.0
84,61,3056.86,5.0,236.0
85,50,5021.56,1.0,347.0
86,-5,3889.38,3.0,320.0
87,23,4073.45,5.0,354.0
88,34,4777.99,5.0,236.0
89,57,5428.76,5.0,309.0
90,61,3991.11,1.0,128.0
91,40,6095.78,5.0,336.0
92,59,2787.09,5.0,374.0
93,61,4509.51,2.0,293.0
94,38,8396.51,3.0,126.0
95,64,4834.62,3.0,439.0
96,32,6649.82,3.0,364.0
97,30,4637.28,2.0,233.0
98,53,5371.17,5.0,286.0
99,51,4414.83,5.0,140.0
100,25,4244.39,2.0,197.0
101,61,3330.78,5.0,255.0
102,28,5145.45,2.0,467.0
103,59,3222.69,4.0,243.0
104,18,5498.38,3.0,397.0
105,59,6127.93,3.0,255.0
106,58,5049.8,1.0,350.0
107,58,4070.63,4.0,303.0
108,52,5180.95,2.0,425.0
109,42,4036.99,2.0,256.0
110,54,5903.32,1.0,131.0
111,32,1752.89,5.0,154.0
112,58,3996.59,1.0,256.0
113,46,1513.78,4.0,170.0
114,41,2257.41,5.0,369.0
115,44,invalid,1.0,264.0
116,47,5842.78,3.0,605.0
117,19,3420.78,3.0,111.0
118,25,2246.24,2.0,344.0
119,30,53.21,4.0,185.0
120,23,3684.76,3.0,261.0
121,40,8130.62,3.0,337.0
122,52,,3.0,41.0
123,52,3660.64,5.0,348.0
124,42,5197.62,4.0,548.0
125,62,2158.56,2.0,266.0
126,47,4054.01,5.0,351.0
127,22,4649.22,5.0,443.0
128,57,4370.85,5.0,300.0
129,47,5686.21,4.0,250.0
130,51,5016.97,2.0,47.0
131,47,5502.49,4.0,397.0
132,46,3467.44,2.0,306.0
133,22,5846.72,2.0,198.0
134,47,6943.41,3.0,335.0
135,59,3044.78,5.0,250.0
136,33,3168.46,3.0,257.0
137,49,6503.68,2.0,393.0
138,19,4212.98,3.0,159.0
139,36,invalid,2.0,446.0
140,40,3836.2,4.0,152.0
141,69,6682.57,2.0,240.0
142,29,,3.0,551.0
143,32,,2.0,455.0
144,39,6847.08,2.0,332.0
145,69,3957.34,5.0,207.0
146,62,3088.32,2.0,256.0
147,19,3827.15,1.0,329.0
148,30,,2.0,325.0
149,60,2151.36,3.0,309.0
150,21,5456.21,1.0,316.0
151,62,3691.84,2.0,294.0
152,32,6221.72,1.0,147.0
153,65,908.61,3.0,258.0
154,33,,,430.0
155,40,1970.3,5.0,156.0
156,52,74146.24,2.0,297.0
157,24,4871.5,5.0,222.0
158,46,4231.16,2.0,333.0
159,44,4119.93,4.0,273.0
160,58,4261.22,3.0,497.0
161,69,4805.08,4.0,381.0
162,52,2987.2,4.0,163.0
163,39,5560.27,3.0,401.0
164,39,5494.0,,227.0
165,39,5077.56,3.0,251.0
166,60,5334.8,5.0,358.0
167,34,4944.63,5.0,261.0
168,26,7552.61,5.0,427.0
169,35,4369.36,1.0,227.0
170,19,4039.38,3.0,246.0
171,23,3369.71,1.0,241.0
172,22,2951.61,4.0,252.0
173,58,2633.29,5.0,452.0
174,55,3166.8,1.0,395.0
175,54,4393.98,4.0,525.0
176,42,5001.44,5.0,592.0
177,55,4576.71,5.0,196.0
178,26,3351.7,2.0,328.0
179,64,5850.28,1.0,179.0
180,44,5609.12,5.0,227.0
181,66,4260.53,5.0,244.0
182,25,3520.63,3.0,193.0
183,43,5322.64,5.0,194.0
184,54,4781.96,1.0,303.0
185,43,2327.81,4.0,174.0
186,41,4398.03,1.0,421.0
187,26,4893.05,5.0,210.0
188,37,3150.46,4.0,657.0
189,30,4784.77,5.0,266.0
190,33,2317.77,3.0,329.0
191,-5,6504.28,1.0,165.0
192,50,6371.92,1.0,525.0
193,49,4121.22,2.0,454.0
194,36,5045.18,4.0,356.0
195,67,885.12,1.0,158.0
196,22,2765.48,5.0,345.0
197,35,4059.33,2.0,185.0
198,24,2891.8,3.0,495.0
199,35,5571.59,2.0,417.0
200,68,invalid,3.0,331.0
201,37,2735.08,3.0,28.0
202,65,3243.8,1.0,202.0
203,43,4853.17,3.0,403.0
204,54,6916.67,4.0,466.0
205,-5,2666.44,5.0,453.0
206,31,4873.55,2.0,129.0
207,57,7231.95,5.0,356.0
208,68,2022.36,5.0,442.0
209,31,2578.4,5.0,121.0
210,-5,3864.59,2.0,319.0
211,31,3719.12,5.0,353.0
212,55,5718.9,3.0,284.0
213,59,4862.49,1.0,98.0
214,41,1837.56,2.0,281.0
215,56,5273.12,4.0,281.0
216,32,,1.0,302.0
217,22,6411.67,3.0,252.0
218,23,3558.62,4.0,267.0
219,41,3545.08,,315.0
220,64,5311.7,3.0,373.0
221,24,5644.39,2.0,283.0
222,41,5172.15,3.0,271.0
223,54,,2.0,331.0
224,28,5307.05,5.0,89.0
225,55,2948.54,1.0,377.0
226,33,4852.91,5.0,320.0
227,-5,2364.4,4.0,325.0
228,48,5169.48,5.0,435.0
229,46,3290.1,5.0,86.0
230,27,2576.05,1.0,83.0
231,42,5570.73,5.0,353.0
232,62,4862.47,3.0,319.0
233,19,3579.03,5.0,340.0
234,57,6676.77,5.0,265.0
235,43,3839.02,3.0,400.0
236,55,4548.16,2.0,432.0
237,52,4903.37,1.0,378.0
238,40,3570.5,1.0,289.0
239,34,,2.0,67.0
240,50,3699.82,5.0,412.0
241,25,3882.54,3.0,467.0
242,48,6543.96,3.0,397.0
243,22,2939.12,2.0,214.0
244,51,880.83,3.0,401.0
245,50,6916.41,4.0,423.0
246,22,8323.99,5.0,507.0
247,57,3892.1,4.0,215.0
248,39,1594.74,4.0,293.0
249,58,4034.27,5.0,410.0
250,20,4070.67,3.0,327.0
251,27,4215.11,5.0,186.0
252,43,2829.92,2.0,370.0
253,27,5369.34,1.0,389.0
254,35,5286.76,3.0,331.0
255,52,2258.39,1.0,346.0
256,25,5548.8,1.0,289.0
257,53,7579.03,5.0,497.0
258,23,,4.0,212.0
259,-5,3994.01,2.0,250.0
260,48,4287.0,5.0,321.0
261,59,5422.89,1.0,425.0
262,26,1903.99,2.0,140.0
263,33,4746.59,4.0,163.0
264,66,invalid,2.0,75.0
265,69,7271.74,4.0,324.0
266,48,4238.74,5.0,186.0
267,41,,1.0,274.0
268,36,2844.39,1.0,399.0
269,49,5380.89,5.0,243.0
270,48,4979.1,3.0,348.0
271,33,3196.43,3.0,284.0
272,19,4766.09,3.0,401.0
273,25,6318.78,3.0,377.0
274,67,4014.31,4.0,237.0
275,39,1962.06,3.0,300.0
276,43,4473.66,1.0,445.0
277,42,3146.37,4.0,367.0
278,58,3986.49,4.0,152.0
279,21,4377.62,1.0,399.0
280,22,1941.52,2.0,190.0
281,32,2076.51,4.0,490.0
282,43,74146.24,4.0,443.0
283,52,3715.92,1.0,355.0
284,43,652.88,1.0,339.0
285,40,5677.27,3.0,295.0
286,66,4908.55,3.0,401.0
287,26,,5.0,276.0
288,47,2524.75,3.0,348.0
289,46,5753.71,5.0,425.0
290,42,5024.03,2.0,253.0
291,59,8073.9,3.0,246.0
292,31,5130.28,1.0,177.0
293,67,5081.55,3.0,192.0
294,35,4249.61,1.0,101.0
295,46,5725.16,3.0,408.0
296,45,5437.63,2.0,537.0
297,62,6377.59,1.0,491.0
298,40,3718.02,1.0,125.0
299,32,3846.89,3.0,407.0
300,19,3781.35,9.0,491.0
301,36,5686.2,1.0,265.0
302,60,invalid,3.0,332.0
303,18,3811.74,2.0,79.0
304,64,3862.84,5.0,352.0
305,46,4971.12,3.0,192.0
306,25,4131.36,5.0,344.0
307,33,5928.08,2.0,133.0
308,46,1122.33,1.0,385.0
309,34,3259.94,3.0,443.0
310,23,,4.0,226.0
311,52,,5.0,184.0
312,52,3054.54,5.0,61.0
313,24,3127.27,5.0,288.0
314,32,4198.34,4.0,250.0
315,30,6169.45,2.0,134.0
316,52,4132.41,3.0,374.0
317,55,2953.78,1.0,266.0
318,55,4414.57,3.0,191.0
319,66,,2.0,253.0
320,57,3036.06,1.0,10.0
321,34,3134.14,2.0,392.0
322,23,5337.82,3.0,304.0
323,49,4167.7,2.0,394.0
324,65,5471.23,5.0,181.0
325,68,4479.53,3.0,324.0
326,29,5552.5,5.0,338.0
327,30,2947.38,4.0,264.0
328,19,,1.0,372.0
329,25,4183.96,2.0,226.0
330,46,2676.16,4.0,381.0
331,46,2154.78,3.0,386.0
332,37,5528.62,2.0,10.0
333,34,3973.57,3.0,463.0
334,61,2966.58,5.0,10.0
335,41,4355.73,2.0,246.0
336,60,6192.03,1.0,443.0
337,68,1078.89,2.0,282.0
338,34,2255.04,5.0,144.0
339,28,3115.67,4.0,189.0
340,67,6691.77,5.0,443.0
341,51,4923.88,5.0,89.0
342,33,5650.98,1.0,455.0
343,50,2789.76,2.0,313.0
344,44,2820.7,1.0,177.0
345,65,5171.72,1.0,250.0
346,31,4587.41,5.0,198.0
347,69,,5.0,424.0
348,66,4218.49,1.0,408.0
349,27,4917.22,4.0,114.0
350,26,4737.18,3.0,272.0
351,45,5666.65,1.0,216.0
352,20,5710.51,5.0,475.0
353,33,2070.19,5.0,158.0
354,40,1129.1,3.0,513.0
355,68,6002.62,4.0,316.0
356,69,6281.59,2.0,181.0
357,25,2969.07,4.0,239.0
358,64,1710.25,3.0,224.0
359,22,4648.55,5.0,167.0
360,56,5896.26,1.0,331.0
361,61,7196.39,1.0,173.0
362,64,5274.45,9.0,58.0
363,29,3942.42,2.0,274.0
364,64,3160.3,2.0,104.0
365,24,4517.18,4.0,230.0
366,44,4051.1,1.0,211.0
367,42,,3.0,215.0
368,34,7573.13,2.0,560.0
369,19,7177.75,1.0,327.0
370,58,,,349.0
371,35,3118.72,1.0,107.0
372,52,5782.53,1.0,242.0
373,39,5459.44,4.0,346.0
374,37,5163.82,5.0,197.0
375,64,6374.5,9.0,429.0
376,22,5453.06,4.0,176.0
377,56,,3.0,286.0
378,56,5455.36,5.0,250.0
379,37,5011.19,1.0,340.0
380,31,1824.58,5.0,243.0
381,18,4625.43,9.0,287.0
382,66,3665.71,5.0,292.0
383,67,2580.24,2.0,232.0
384,30,7022.72,5.0,378.0
385,19,7093.49,4.0,349.0
386,24,6538.83,1.0,309.0
387,21,4882.82,5.0,268.0
388,61,6525.94,,416.0
389,64,4518.08,2.0,292.0
390,25,4804.2,,283.0
391,56,2859.79,2.0,333.0
392,27,5095.49,3.0,524.0
393,-5,4590.58,5.0,159.0
394,49,2546.02,5.0,412.0
395,55,4423.2,2.0,93.0
396,63,4380.41,5.0,346.0
397,20,7196.34,3.0,509.0
398,28,5841.32,4.0,379.0
399,32,4517.17,4.0,340.0
400,34,4873.18,3.0,253.0
401,69,4566.32,3.0,324.0
402,58,4195.63,,290.0
403,34,2876.36,5.0,226.0
404,68,4273.42,2.0,285.0
405,43,invalid,2.0,344.0
406,44,2624.53,2.0,228.0
407,40,5266.83,1.0,223.0
408,25,5086.9,2.0,157.0
409,66,1819.94,1.0,367.0
410,18,,1.0,385.0
411,27,5993.55,4.0,348.0
412,29,6088.84,1.0,436.0
413,32,6038.76,3.0,331.0
414,24,4558.37,4.0,367.0
415,18,3232.43,4.0,356.0
416,53,invalid,3.0,309.0
417,68,5016.91,1.0,256.0
418,24,,5.0,586.0
419,33,6431.0,5.0,266.0
420,44,6149.97,4.0,240.0
421,66,4301.66,1.0,372.0
422,54,invalid,1.0,350.0
423,57,4021.34,2.0,151.0
424,48,4825.85,,455.0
425,39,4196.88,5.0,309.0
426,28,3633.16,,187.0
427,-5,4879.33,2.0,463.0
428,59,3744.06,5.0,395.0
429,19,3557.9,5.0,168.0
430,55,4967.18,2.0,533.0
431,22,3897.01,2.0,399.0
432,56,4866.16,3.0,319.0
433,60,,4.0,511.0
434,24,2790.86,5.0,339.0
435,40,3778.14,5.0,317.0
436,-5,6656.67,5.0,241.0
437,47,,1.0,390.0
438,66,1325.02,2.0,377.0
439,22,,3.0,322.0
440,38,4543.66,1.0,225.0
441,68,4546.38,2.0,336.0
442,33,,1.0,312.0
443,24,6321.28,5.0,160.0
444,43,490.75,9.0,143.0
445,44,5093.9,1.0,388.0
446,52,6842.16,1.0,10.0
447,34,2808.33,1.0,345.0
448,67,3930.29,3.0,263.0
449,45,,2.0,477.0
450,32,3158.48,5.0,261.0
451,67,4010.61,2.0,399.0
452,66,,3.0,272.0
453,43,7256.08,4.0,334.0
454,19,3996.09,4.0,408.0
455,49,7357.59,4.0,264.0
456,46,4553.36,2.0,440.0
457,25,7130.54,3.0,201.0
458,50,4360.05,5.0,355.0
459,61,4696.59,5.0,431.0
460,23,5048.21,4.0,399.0
461,55,9268.28,4.0,550.0
462,25,5776.93,5.0,228.0
463,56,3439.1,4.0,155.0
464,39,5953.5,5.0,201.0
465,18,invalid,1.0,399.0
466,68,3765.37,2.0,380.0
467,26,5862.9,1.0,332.0
468,48,4546.63,1.0,185.0
469,27,4917.86,3.0,412.0
470,66,4520.98,2.0,173.0
471,56,5004.87,3.0,459.0
472,59,5137.45,3.0,663.0
473,40,1594.55,4.0,364.0
474,42,,,390.0
475,50,3026.97,5.0,261.0
476,58,2336.55,2.0,103.0
477,62,,2.0,248.0
478,18,4625.97,4.0,189.0
479,52,3459.74,1.0,146.0
480,23,5746.55,3.0,527.0
481,32,2486.74,3.0,353.0
482,61,74146.24,1.0,366.0
483,31,3622.69,4.0,283.0
484,59,invalid,2.0,299.0
485,42,4918.3,1.0,436.0
486,30,2988.16,4.0,316.0
487,35,invalid,1.0,384.0
488,45,4594.5,4.0,296.0
489,57,,1.0,279.0
490,49,1562.11,,151.0
491,66,4481.52,5.0,83.0
492,63,4168.55,2.0,289.0
493,57,4344.87,4.0,327.0
494,49,invalid,4.0,166.0
495,33,4838.34,5.0,316.0
496,39,5921.47,,326.0
497,24,,4.0,61.0
498,37,2742.04,5.0,210.0
499,66,2860.01,4.0,369.0
500,40,,1.0,366.0
501,23,6367.42,5.0,182.0
502,51,3852.99,1.0,339.0
503,68,invalid,3.0,443.0
504,63,1944.01,3.0,413.0
505,32,,3.0,309.0
506,41,3663.41,3.0,264.0
507,45,3887.42,1.0,244.0
508,-5,4557.87,3.0,10.0
509,31,,5.0,343.0
510,30,6074.01,3.0,396.0
511,69,3485.97,9.0,336.0
512,56,3206.52,,418.0
513,61,5218.31,1.0,331.0
514,60,2196.54,3.0,414.0
515,67,5084.54,3.0,424.0
516,23,4653.83,3.0,223.0
517,63,4278.84,5.0,103.0
518,21,,9.0,505.0
519,42,3566.69,5.0,351.0
520,48,7590.45,1.0,114.0
521,36,4161.85,4.0,234.0
522,25,2584.48,,413.0
523,27,4604.88,2.0,10.0
524,60,2885.63,9.0,259.0
525,34,,4.0,488.0
526,34,5095.55,4.0,194.0
527,66,5333.37,,224.0
528,25,3566.75,1.0,345.0
529,65,5981.11,3.0,367.0
530,65,6236.26,5.0,380.0
531,49,6654.45,1.0,429.0
532,26,5294.12,3.0,344.0
533,26,6545.14,3.0,379.0
534,32,1678.8,,289.0
535,48,4023.14,2.0,328.0
536,25,3199.49,3.0,333.0
537,41,4678.84,4.0,346.0
538,24,3642.83,1.0,413.0
539,46,4250.76,5.0,387.0
540,19,7323.26,5.0,325.0
541,54,,4.0,223.0
542,20,5120.69,4.0,328.0
543,28,4151.6,4.0,317.0
544,27,4613.57,4.0,343.0
545,61,invalid,5.0,585.0
546,20,5172.49,3.0,257.0
547,40,6247.96,,371.0
548,48,6971.09,4.0,448.0
549,44,4964.43,1.0,332.0
550,53,5384.32,5.0,601.0
551,-5,2773.7,4.0,275.0
552,38,4368.18,4.0,359.0
553,61,5910.43,2.0,224.0
554,34,5798.95,2.0,278.0
555,69,4817.41,3.0,350.0
556,44,5829.59,4.0,422.0
557,56,5236.15,4.0,358.0
558,63,6300.46,4.0,471.0
559,59,,5.0,309.0
560,62,3966.45,5.0,280.0
561,45,5003.76,4.0,644.0
562,20,104.11,2.0,367.0
563,43,5074.33,3.0,234.0
564,27,-972.62,,237.0
565,64,1914.8,4.0,207.0
566,30,5177.65,5.0,432.0
567,29,5216.29,2.0,276.0
568,30,2756.36,3.0,335.0
569,51,,1.0,312.0
570,47,6555.81,4.0,408.0
571,67,3773.95,3.0,218.0
572,39,7864.38,9.0,191.0
573,32,4497.12,3.0,347.0
574,20,5112.05,2.0,392.0
575,18,74146.24,3.0,360.0
576,37,4696.54,4.0,223.0
577,66,2996.48,2.0,401.0
578,45,4335.41,,231.0
579,64,4446.58,2.0,257.0
580,23,2452.89,1.0,207.0
581,22,4116.25,2.0,476.0
582,61,3386.71,4.0,396.0
583,23,5886.54,1.0,393.0
584,20,,4.0,470.0
585,39,4075.81,2.0,658.0
586,66,4340.73,5.0,115.0
587,53,4834.68,4.0,231.0
588,23,5425.22,2.0,246.0
589,61,3000.43,3.0,218.0
590,61,2937.62,1.0,191.0
591,59,6157.02,1.0,284.0
592,64,3881.49,5.0,174.0
593,30,2374.74,5.0,360.0
594,68,5165.72,1.0,326.0
595,34,5195.05,2.0,378.0
596,59,2203.93,1.0,381.0
597,48,4844.22,2.0,392.0
598,58,5603.37,2.0,275.0
599,50,5061.58,2.0,575.0
600,-5,5447.97,9.0,348.0
601,50,2393.6,1.0,97.0
602,58,4996.56,5.0,200.0
603,56,4046.07,4.0,111.0
604,24,3775.81,4.0,322.0
605,60,5805.83,,305.0
606,45,6718.91,4.0,264.0
607,34,7191.56,5.0,561.0
608,44,6472.21,1.0,386.0
609,68,4335.4,4.0,407.0
610,62,5029.08,2.0,208.0
611,61,5650.23,4.0,200.0
612,42,4681.77,3.0,10.0
613,58,,5.0,341.0
614,38,5735.63,1.0,97.0
615,53,4411.08,2.0,298.0
616,51,3406.07,2.0,322.0
617,30,,2.0,294.0
618,31,5450.87,2.0,222.0
619,21,4504.49,2.0,255.0
620,25,5010.31,1.0,299.0
621,40,5505.12,4.0,331.0
622,42,3937.74,,393.0
623,26,invalid,5.0,450.0
624,39,,4.0,10.0
625,49,2647.78,1.0,265.0
626,30,6663.46,1.0,373.0
627,35,3748.88,3.0,393.0
628,37,2017.36,3.0,268.0
629,44,2932.43,2.0,415.0
630,37,2968.43,4.0,438.0
631,56,4578.26,3.0,475.0
632,35,4089.22,4.0,533.0
633,40,3994.75,1.0,216.0
634,37,5429.55,5.0,322.0
635,27,5009.81,2.0,321.0
636,53,4974.07,,308.0
637,30,5114.74,3.0,242.0
638,33,5424.2,5.0,142.0
639,59,1338.07,2.0,331.0
640,67,,2.0,228.0
641,52,1229.68,2.0,330.0
642,65,4554.09,2.0,225.0
643,62,4493.05,1.0,188.0
644,43,6068.3,1.0,348.0
645,58,6281.45,2.0,338.0
646,35,4804.16,3.0,390.0
647,41,invalid,2.0,582.0
648,45,5227.74,2.0,353.0
649,67,,4.0,378.0
650,62,4497.91,2.0,191.0
651,43,5979.2,,166.0
652,51,3663.34,4.0,510.0
653,28,5708.52,1.0,209.0
654,59,5516.1,2.0,195.0
655,46,,1.0,315.0
656,45,5960.84,2.0,309.0
657,57,5547.85,2.0,212.0
658,50,4652.89,1.0,283.0
659,21,3356.51,1.0,468.0
660,32,3211.19,3.0,223.0
661,27,3693.51,4.0,153.0
662,56,5313.89,9.0,433.0
663,19,3066.56,5.0,379.0
664,28,74146.24,2.0,246.0
665,49,2637.37,5.0,130.0
666,54,4193.9,,231.0
667,44,4664.47,3.0,313.0
668,62,,4.0,460.0
669,65,2434.03,1.0,196.0
670,24,6708.02,5.0,310.0
671,67,4724.76,2.0,401.0
672,49,5116.76,3.0,34.0
673,51,4677.52,4.0,444.0
674,22,5167.09,4.0,178.0
675,50,4269.47,1.0,360.0
676,55,6681.08,5.0,350.0
677,48,3815.29,4.0,450.0
678,22,6198.35,5.0,386.0
679,45,3533.45,3.0,35.0
680,66,4409.62,4.0,10.0
681,55,2892.06,3.0,337.0
682,25,5182.54,5.0,297.0
683,67,,5.0,377.0
684,67,4383.97,5.0,415.0
685,26,4204.67,3.0,393.0
686,59,2828.07,4.0,294.0
687,39,4156.06,2.0,98.0
688,48,2110.81,3.0,265.0
689,41,3130.68,4.0,370.0
690,58,4840.18,1.0,189.0
691,69,6478.52,4.0,396.0
692,59,8713.82,1.0,429.0
693,66,3620.12,3.0,335.0
694,67,,3.0,10.0
695,22,4865.63,3.0,167.0
696,31,4273.13,3.0,546.0
697,55,5148.89,3.0,254.0
698,48,4592.87,3.0,82.0
699,20,4665.59,3.0,468.0
700,22,3887.5,3.0,322.0
701,45,2402.84,4.0,453.0
702,50,2184.56,3.0,353.0
703,26,invalid,,375.0
704,26,4084.95,5.0,364.0
705,24,3605.87,5.0,404.0
706,47,4512.76,1.0,593.0
707,18,5692.4,4.0,437.0
708,47,4770.55,2.0,130.0
709,42,3515.92,1.0,374.0
710,42,6339.44,4.0,457.0
711,53,6868.78,1.0,464.0
712,45,,5.0,269.0
713,55,5960.5,4.0,10.0
714,57,6362.94,5.0,431.0
715,65,6195.15,4.0,629.0
716,59,5421.15,5.0,230.0
717,44,5397.52,1.0,259.0
718,43,5279.49,5.0,283.0
719,30,2853.99,1.0,261.0
720,49,5551.08,2.0,213.0
721,25,2466.28,1.0,10.0
722,66,invalid,3.0,268.0
723,61,6455.35,4.0,364.0
724,24,5760.33,2.0,261.0
725,58,6731.1,5.0,552.0
726,24,4092.49,4.0,322.0
727,55,2771.63,4.0,475.0
728,22,4139.34,5.0,351.0
729,43,4653.05,3.0,419.0
730,52,4618.48,2.0,354.0
731,55,6200.52,5.0,484.0
732,39,3958.09,3.0,327.0
733,65,5028.05,4.0,380.0
734,58,3017.06,2.0,364.0
735,28,5175.48,2.0,285.0
736,52,4504.66,1.0,369.0
737,55,3375.28,2.0,588.0
738,35,4146.26,1.0,288.0
739,56,invalid,4.0,370.0
740,64,4094.77,1.0,471.0
741,60,7157.01,4.0,457.0
742,57,,5.0,321.0
743,50,4134.16,4.0,34.0
744,32,1353.82,,382.0
745,59,3158.69,,54.0
746,36,4105.39,5.0,496.0
747,45,3471.22,1.0,340.0
748,34,6572.56,4.0,440.0
749,34,4252.59,4.0,212.0
750,26,6432.67,1.0,134.0
751,67,4592.56,4.0,351.0
752,-5,4555.84,1.0,316.0
753,22,,2.0,261.0
754,66,4505.69,5.0,330.0
755,46,7078.19,5.0,652.0
756,40,1020.58,2.0,420.0
757,56,1497.68,5.0,446.0
758,37,3685.24,5.0,421.0
759,24,invalid,4.0,498.0
760,55,5535.16,1.0,297.0
761,27,5209.63,2.0,73.0
762,46,3923.63,4.0,297.0
763,67,6028.57,5.0,417.0
764,66,6045.29,,204.0
765,36,,3.0,299.0
766,58,5943.99,2.0,237.0
767,49,4908.97,5.0,500.0
768,42,3657.78,2.0,410.0
769,25,5546.73,2.0,398.0
770,37,4665.92,5.0,395.0
771,51,4502.01,3.0,316.0
772,69,6709.43,2.0,344.0
773,18,823.69,1.0,178.0
774,55,2373.47,3.0,58.0
775,62,,5.0,338.0
776,67,3955.11,3.0,359.0
777,40,4118.09,4.0,465.0
778,24,2239.01,2.0,509.0
779,32,3022.26,4.0,508.0
780,62,3208.74,4.0,200.0
781,63,8186.14,4.0,278.0
782,51,7202.61,4.0,378.0
783,24,3882.38,3.0,624.0
784,24,3954.63,2.0,498.0
785,42,2776.19,4.0,454.0
786,48,1637.8,5.0,273.0
787,19,4324.68,5.0,214.0
788,53,3003.22,2.0,415.0
789,46,4372.72,9.0,188.0
790,18,2099.69,1.0,291.0
791,-5,3357.04,3.0,306.0
792,41,4722.94,3.0,511.0
793,55,5049.31,,277.0
794,60,5126.21,5.0,27.0
795,40,2519.27,5.0,381.0
796,33,5782.03,1.0,236.0
797,68,3299.68,2.0,325.0
798,-5,74146.24,2.0,310.0
799,34,4484.04,5.0,287.0
800,41,2435.42,3.0,415.0
